tweet_id,rating_numerator,rating_denominator,name,stage
819711362133872643,11.0,10.0,Howie,
819588359383371776,13.0,10.0,Jazzy,
819347104292290561,12.0,10.0,Anna,
819227688460238848,12.0,10.0,Finn,
819004803107983360,14.0,10.0,Bo,doggo
818627210458333184,13.0,10.0,Wafer,
818614493328580609,12.0,10.0,Bear,
818536468981415936,11.0,10.0,Tom,
818259473185828864,12.0,10.0,Florence,
818145370475810820,11.0,10.0,Autumn,
817827839487737858,13.0,10.0,Buddy,
817777686764523521,13.0,10.0,Dido,pupper
817536400337801217,12.0,10.0,Eugene,
817423860136083457,13.0,10.0,Ken,
817415592588222464,11.0,10.0,Strudel,
817171292965273600,13.0,10.0,Tebow,
817120970343411712,13.0,10.0,,
817056546584727552,11.0,10.0,Chloe,
816816676327063552,12.0,10.0,Timber,
816697700272001025,12.0,10.0,Binky,
816336735214911488,11.0,10.0,Dudley,
816091915477250048,12.0,10.0,Comet,
815990720817401858,11.0,10.0,Jack,doggo
815966073409433600,13.0,10.0,,pupper
815736392542261248,11.0,10.0,Akumi,
815639385530101762,12.0,10.0,Titan,
814986499976527872,11.0,10.0,Cooper,pupper
814638523311648768,12.0,10.0,Olivia,
814530161257443328,12.0,10.0,Alf,
814153002265309185,12.0,10.0,Oshie,
813910438903693312,11.0,10.0,Chubbs,doggo
813812741911748608,14.0,10.0,Gary,
813800681631023104,12.0,10.0,Sky,
813217897535406080,13.0,10.0,Atlas,
813202720496779264,11.0,10.0,,doggo
813187593374461952,13.0,10.0,,
813172488309972993,12.0,10.0,Eleanor,
813157409116065792,12.0,10.0,Layla,
813142292504645637,13.0,10.0,,
813127251579564032,11.0,10.0,,doggo
813112105746448384,12.0,10.0,Toby,
813096984823349248,11.0,10.0,Rocky,doggo
813081950185472002,11.0,10.0,Baron,
813066809284972545,12.0,10.0,Tyr,
813051746834595840,13.0,10.0,Bauer,
812781120811126785,10.0,10.0,Swagger,
812709060537683968,12.0,10.0,Brandi,
812466873996607488,12.0,10.0,Mary,
812372279581671427,13.0,10.0,Moe,
811985624773361665,11.0,10.0,Ted,
811744202451197953,13.0,10.0,Halo,
811627233043480576,10.0,10.0,Augie,
811386762094317568,11.0,10.0,Craig,pupper
810896069567610880,11.0,10.0,Hunter,
810657578271330305,11.0,10.0,Pavlov,
810284430598270976,13.0,10.0,Phil,
810254108431155201,12.0,10.0,Gus,
809920764300447744,10.0,10.0,,
809448704142938112,12.0,10.0,,
809220051211603969,12.0,10.0,Kyro,
809084759137812480,11.0,10.0,Wallace,
808838249661788160,13.0,10.0,Ito,
808733504066486276,12.0,10.0,,pupper
808501579447930884,12.0,10.0,Koda,
808106460588765185,12.0,10.0,,
808001312164028416,12.0,10.0,Cooper,
807621403335917568,14.0,10.0,Ollie,pupper
807106840509214720,13.0,10.0,Stephan,
807010152071229440,12.0,10.0,Lennon,pupper
806629075125202948,13.0,10.0,,
806542213899489280,11.0,10.0,Waffles,
806219024703037440,11.0,10.0,,
805932879469572096,12.0,10.0,Major,
805826884734976000,12.0,10.0,Duke,puppo
805520635690676224,13.0,10.0,Zeke,
805207613751304193,12.0,10.0,Shooter,
804738756058218496,12.0,10.0,Django,
803773340896923648,12.0,10.0,Diogi,puppo
803638050916102144,13.0,10.0,,pupper
803276597545603072,11.0,10.0,Winston,
802952499103731712,12.0,10.0,Marley,
802572683846291456,12.0,10.0,Winnie,
802265048156610565,11.0,10.0,,
802239329049477120,12.0,10.0,Loki,puppo
801958328846974976,12.0,10.0,Ronnie,
801538201127157760,12.0,10.0,Wallace,
801167903437357056,13.0,10.0,Milo,
801115127852503040,12.0,10.0,Bones,pupper
800751577355128832,12.0,10.0,Mauve,
800513324630806528,11.0,10.0,Chef,
800388270626521089,12.0,10.0,Doc,floofer
800141422401830912,13.0,10.0,Peaches,
799757965289017345,13.0,10.0,Sobe,doggo
799422933579902976,12.0,10.0,Longfellow,
799297110730567681,11.0,10.0,Jeffrey,
799063482566066176,11.0,10.0,Mister,
798933969379225600,12.0,10.0,Iroh,
798925684722855936,11.0,10.0,Shadow,
798209839306514432,13.0,10.0,Cooper,
797971864723324932,12.0,10.0,,pupper
797545162159308800,12.0,10.0,Cassie,
797236660651966464,12.0,10.0,Pancake,
796865951799083009,12.0,10.0,Tyr,
796759840936919040,11.0,10.0,Romeo,
796484825502875648,12.0,10.0,,doggo
796387464403357696,12.0,10.0,Snicku,
796149749086875649,11.0,10.0,Ruby,
796116448414461957,11.0,10.0,,
796080075804475393,12.0,10.0,Yogi,
796031486298386433,13.0,10.0,Daisy,
795464331001561088,13.0,10.0,,doggo
795400264262053889,12.0,10.0,Brody,
794926597468000259,12.0,10.0,Mack,
794332329137291264,12.0,10.0,Nimbus,
793962221541933056,12.0,10.0,Maximus,
793845145112371200,13.0,10.0,Clark,
793601777308463104,12.0,10.0,Dobby,
793500921481273345,12.0,10.0,Fiona,
793286476301799424,13.0,10.0,Moreton,
793271401113350145,12.0,10.0,Dave,
793256262322548741,12.0,10.0,,
793241302385262592,13.0,10.0,Tucker,
793226087023144960,11.0,10.0,Juno,
793210959003287553,10.0,10.0,Maude,
793195938047070209,12.0,10.0,Lily,puppo
793180763617361921,11.0,10.0,Newt,
793165685325201412,12.0,10.0,Benji,
793150605191548928,11.0,10.0,Nida,
793120401413079041,11.0,10.0,Robin,
792883833364439040,12.0,10.0,Bailey,
792773781206999040,12.0,10.0,Monster,
792394556390137856,12.0,10.0,BeBe,
792050063153438720,11.0,10.0,Remus,
791672322847637504,13.0,10.0,,
791406955684368384,12.0,10.0,Levi,
791312159183634433,12.0,10.0,Mabel,
790987426131050500,12.0,10.0,Misty,
790946055508652032,12.0,10.0,Betty,puppo
790698755171364864,12.0,10.0,Mosby,
790581949425475584,11.0,10.0,Duke,
790337589677002753,12.0,10.0,Maggie,
790277117346975746,11.0,10.0,Bruce,
789986466051088384,12.0,10.0,Happy,
789628658055020548,13.0,10.0,Eli,
789599242079838210,12.0,10.0,Brownie,
789530877013393408,12.0,10.0,Rizzy,
789268448748703744,10.0,10.0,Stella,
789137962068021249,12.0,10.0,Bo,
788908386943430656,11.0,10.0,Lucy,
788765914992902144,12.0,10.0,Butter,
788412144018661376,11.0,10.0,Dexter,
788178268662984705,13.0,10.0,,
788150585577050112,13.0,10.0,Leo,
787810552592695296,11.0,10.0,Frank,
787717603741622272,13.0,10.0,Tonks,puppo
787397959788929025,11.0,10.0,Moose,
787322443945877504,10.0,10.0,Lincoln,
786963064373534720,12.0,10.0,Rory,
786709082849828864,9.75,10.0,Logan,
786664955043049472,12.0,10.0,,
786595970293370880,11.0,10.0,Dale,
786363235746385920,13.0,10.0,Rizzo,doggo
786233965241827333,11.0,10.0,Mattie,
785927819176054784,12.0,10.0,Lucy,
785872687017132033,12.0,10.0,Rusty,
785533386513321988,11.0,10.0,Dallas,
785264754247995392,12.0,10.0,Doc,
785170936622350336,11.0,10.0,Hero,
784826020293709826,13.0,10.0,Rusty,
784517518371221505,11.0,10.0,Frankie,
784431430411685888,12.0,10.0,Stormy,
783821107061198850,12.0,10.0,Mairi,
783695101801398276,12.0,10.0,Loomis,
783466772167098368,11.0,10.0,Finn,
783391753726550016,13.0,10.0,Godi,
783334639985389568,12.0,10.0,Dave,
783085703974514689,11.0,10.0,Earl,
782969140009107456,12.0,10.0,Cali,
782747134529531904,11.0,10.0,Deacon,doggo
782722598790725632,10.0,10.0,Penny,
782598640137187329,11.0,10.0,Timmy,
782305867769217024,12.0,10.0,Sampson,doggo
781661882474196992,5.0,10.0,,
781524693396357120,12.0,10.0,,
781251288990355457,11.0,10.0,Oakley,
781163403222056960,10.0,10.0,,
780858289093574656,10.0,10.0,Dash,
780800785462489090,11.0,10.0,Koda,
780601303617732608,12.0,10.0,Hercules,
780543529827336192,12.0,10.0,,
780459368902959104,11.0,10.0,Bear,
780192070812196864,11.0,10.0,,
779834332596887552,11.0,10.0,Scout,
779123168116150273,12.0,10.0,Reggie,
779056095788752897,13.0,10.0,,
778990705243029504,11.0,10.0,Jay,
778748913645780993,11.0,10.0,Mya,
778650543019483137,10.0,10.0,Strider,
778624900596654080,11.0,10.0,Penny,
778408200802557953,14.0,10.0,,
778383385161035776,13.0,10.0,Nala,
778286810187399168,11.0,10.0,Stanley,
778039087836069888,12.0,10.0,,pupper
778027034220126208,11.27,10.0,Sophie,pupper
777885040357281792,3.0,10.0,Wesley,
777684233540206592,12.0,10.0,,
777621514455814149,12.0,10.0,Derek,
777189768882946048,12.0,10.0,Jeffrey,
776813020089548800,12.0,10.0,Solomon,
776477788987613185,11.0,10.0,Huck,pupper
776218204058357768,13.0,10.0,,floofer
776201521193218049,10.0,10.0,O,
776088319444877312,10.0,10.0,,
775842724423557120,12.0,10.0,Blue,
775364825476165632,11.0,10.0,Finley,doggo
775085132600442880,13.0,10.0,Tucker,
774757898236878852,12.0,10.0,Finley,
774639387460112384,10.0,10.0,Sprinkles,
774314403806253056,14.0,10.0,,
773985732834758656,11.0,10.0,Winnie,pupper
773922284943896577,12.0,10.0,Heinrich,
773704687002451968,12.0,10.0,Loki,
773670353721753600,10.0,10.0,Shakespeare,
773547596996571136,11.0,10.0,Chelsea,pupper
773308824254029826,12.0,10.0,Bungalo,
773247561583001600,10.0,10.0,Chip,
773191612633579521,12.0,10.0,Grey,
772877495989305348,11.0,10.0,,doggo
772826264096874500,11.0,10.0,Roosevelt,
772581559778025472,10.0,10.0,,
772193107915964416,12.0,10.0,Willem,pupper
772152991789019136,10.0,10.0,,
772117678702071809,12.0,10.0,Jack,
772114945936949249,10.0,10.0,Finn,
772102971039580160,11.0,10.0,Penny,
771770456517009408,11.0,10.0,Davey,
771500966810099713,12.0,10.0,Dakota,
771380798096281600,11.0,10.0,Fizz,
771136648247640064,11.0,10.0,Dixie,
771102124360998913,12.0,10.0,Charlie,
770787852854652928,10.0,10.0,Winston,
770772759874076672,11.0,10.0,Sebastian,
770414278348247044,11.0,10.0,Al,
770293558247038976,10.0,10.0,Jackson,
770069151037685760,10.0,10.0,Carbon,
769940425801170949,12.0,10.0,Klein,
769695466921623552,13.0,10.0,Titan,
769212283578875904,12.0,10.0,DonDon,
768970937022709760,12.0,10.0,Kirby,
768855141948723200,11.0,10.0,Jesse,
768609597686943744,10.0,10.0,Lou,
768596291618299904,12.0,10.0,Oakley,
768473857036525572,11.0,10.0,Chevy,
767754930266464257,11.0,10.0,Philbert,
767500508068192258,12.0,10.0,Louie,
767122157629476866,13.0,10.0,Rupert,
766793450729734144,10.0,10.0,Rufus,
766693177336135680,11.0,10.0,Brudge,
766423258543644672,9.0,10.0,Shadoe,
766313316352462849,12.0,10.0,Oscar,
766069199026450432,12.0,10.0,Juno,
766008592277377025,11.0,10.0,Angel,
765719909049503744,12.0,10.0,Brat,
765669560888528897,12.0,10.0,Tove,
765395769549590528,13.0,10.0,,
765371061932261376,11.0,10.0,Louie,pupper
765222098633691136,10.0,10.0,Gromit,
764857477905154048,12.0,10.0,Aubie,
764259802650378240,10.0,10.0,Kota,
763837565564780549,11.0,10.0,Alfie,
763183847194451968,8.0,10.0,Clark,
763103485927849985,10.0,10.0,Belle,
762699858130116608,11.0,10.0,Leela,
762471784394268675,12.0,10.0,Glenn,
762464539388485633,12.0,10.0,Buddy,
761976711479193600,12.0,10.0,Shelby,
761599872357261312,11.0,10.0,Sephie,
761334018830917632,10.0,10.0,Bruce,
761292947749015552,11.0,10.0,Bonaparte,
761227390836215808,10.0,10.0,Albert,
761004547850530816,11.0,10.0,Bo,
760893934457552897,11.0,10.0,Wishes,doggo
760656994973933572,11.0,10.0,Rose,
760539183865880579,12.0,10.0,Atlas,
760290219849637889,13.0,10.0,Rocco,
759923798737051648,10.0,10.0,,
759846353224826880,11.0,10.0,Kirby,
759793422261743616,12.0,10.0,Maggie,
759557299618865152,10.0,10.0,Emma,
759447681597108224,11.0,10.0,Oakley,
759197388317847553,12.0,10.0,Luna,
759099523532779520,7.0,10.0,Toby,
759047813560868866,11.0,10.0,Spencer,
758854675097526272,11.0,10.0,Lilli,
758828659922702336,13.0,10.0,,doggo
758740312047005698,12.0,10.0,Boston,
758474966123810816,11.0,10.0,Brandonald,
758467244762497024,165.0,150.0,,
758405701903519748,10.0,10.0,Odie,
758355060040593408,11.0,10.0,Corey,
758041019896193024,9.0,10.0,,
757741869644341248,10.0,10.0,Leonard,
757725642876129280,11.0,10.0,Beckham,
757611664640446465,12.0,10.0,Cooper,
757400162377592832,13.0,10.0,,
757393109802180609,10.0,10.0,,doggo
757354760399941633,8.0,10.0,Devón,
756998049151549440,11.0,10.0,Oliver,
756939218950160384,12.0,10.0,Jax,pupper
756651752796094464,11.0,10.0,Gert,
756303284449767430,11.0,10.0,,
756288534030475264,12.0,10.0,,
756275833623502848,10.0,10.0,,puppo
755955933503782912,12.0,10.0,,pupper
755110668769038337,13.0,10.0,Watson,
754856583969079297,11.0,10.0,Winnie,
754449512966619136,11.0,10.0,Dex,
754120377874386944,10.0,10.0,,
754011816964026368,12.0,10.0,Charlie,
753655901052166144,10.0,10.0,,
753398408988139520,12.0,10.0,Scout,
753375668877008896,8.0,10.0,Hank,
753294487569522689,11.0,10.0,Ace,
753026973505581056,10.0,10.0,Tayzie,
752917284578922496,11.0,10.0,Grizzie,
752682090207055872,10.0,10.0,,doggo
752660715232722944,10.0,10.0,,doggo
752519690950500352,11.0,10.0,,puppo
752334515931054080,8.0,10.0,,doggo
752173152931807232,12.0,10.0,Brody,
751937170840121344,11.0,10.0,Ruby,
751830394383790080,12.0,10.0,Tucker,
751598357617971201,13.0,10.0,Toby,
751583847268179968,5.0,10.0,,
751538714308972544,10.0,10.0,Max,
751456908746354688,12.0,10.0,,pupper
751251247299190784,10.0,10.0,Gilbert,
751205363882532864,12.0,10.0,,
751132876104687617,10.0,10.0,Cooper,puppo
750868782890057730,11.0,10.0,Milo,pupper
750719632563142656,12.0,10.0,Meyer,
750429297815552001,12.0,10.0,Arnie,
750383411068534784,9.0,10.0,Zoe,pupper
750147208377409536,13.0,10.0,,
750132105863102464,11.0,10.0,Stewie,
750117059602808832,10.0,10.0,Calvin,
750101899009982464,11.0,10.0,Lilah,
750086836815486976,12.0,10.0,Spanky,
750071704093859840,10.0,10.0,,pupper
750056684286914561,11.0,10.0,Jameson,
750041628174217216,13.0,10.0,Beau,
750026558547456000,10.0,10.0,Jax,
750011400160841729,11.0,10.0,Piper,doggo
749996283729883136,12.0,10.0,Bo,
749774190421639168,12.0,10.0,Lucy,
749417653287129088,11.0,10.0,Finn,pupper
749403093750648834,10.0,10.0,,
749395845976588288,10.0,10.0,George,
749317047558017024,12.0,10.0,Blu,floofer
749064354620928000,11.0,10.0,Winston,
749036806121881602,8.0,10.0,Dietrich,doggo
748977405889503236,10.0,10.0,,
748932637671223296,13.0,10.0,Divine,doggo
748699167502000129,11.0,10.0,Tripp,
748575535303884801,6.0,10.0,,pupper
748568946752774144,12.0,10.0,Cora,
748346686624440324,10.0,10.0,,
748324050481647620,11.0,10.0,Duke,
747963614829678593,10.0,10.0,,pupper
747933425676525569,11.0,10.0,,
747885874273214464,8.0,10.0,,
747844099428986880,11.0,10.0,Huxley,
747816857231626240,4.0,10.0,,
747600769478692864,10.0,10.0,Bookstore,
747594051852075008,11.0,10.0,,
747512671126323200,10.0,10.0,,
747219827526344708,11.0,10.0,Atticus,
747103485104099331,11.0,10.0,,
746872823977771008,11.0,10.0,,
746818907684614144,13.0,10.0,,
746790600704425984,10.0,10.0,,
746726898085036033,12.0,10.0,Abby,
746507379341139972,10.0,10.0,Shiloh,
746369468511756288,9.0,10.0,,
